User|Group|JobID|ReqTRES|Timelimit|Submit|NodeList|Start|End|Elapsed|State|ExitCode
da9666|cbe|55447303|billing=1,cpu=1,gres/gpu=4,mem=4000M,node=1|00:10:00|2024-04-05T13:16:03|della-l08g5|2024-04-05T13:57:10|2024-04-05T14:05:31|00:08:21|COMPLETED|0:0
|4294967294|55447303.batch|||2024-04-05T13:57:10|della-l08g5|2024-04-05T13:57:10|2024-04-05T14:05:31|00:08:21|COMPLETED|0:0
|4294967294|55447303.extern|||2024-04-05T13:57:10|della-l08g5|2024-04-05T13:57:10|2024-04-05T14:05:31|00:08:21|COMPLETED|0:0
as9525|chem|55450886|billing=1,cpu=1,gres/gpu=4,mem=8192M,node=1|01:00:00|2024-04-05T14:17:59|della-l08g5|2024-04-05T14:18:13|2024-04-05T14:20:17|00:02:04|COMPLETED|0:0
|4294967294|55450886.batch|||2024-04-05T14:18:13|della-l08g5|2024-04-05T14:18:13|2024-04-05T14:20:17|00:02:04|COMPLETED|0:0
|4294967294|55450886.extern|||2024-04-05T14:18:13|della-l08g5|2024-04-05T14:18:13|2024-04-05T14:20:17|00:02:04|COMPLETED|0:0
|4294967294|55450886.0|||2024-04-05T14:18:13|della-l08g5|2024-04-05T14:18:13|2024-04-05T14:20:17|00:02:04|COMPLETED|0:0
xinyut|ee|55452143|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|00:59:00|2024-04-05T14:32:49|della-l08g5|2024-04-05T14:34:13|2024-04-05T14:35:47|00:01:34|FAILED|1:0
|4294967294|55452143.batch|||2024-04-05T14:34:13|della-l08g5|2024-04-05T14:34:13|2024-04-05T14:35:47|00:01:34|FAILED|1:0
|4294967294|55452143.extern|||2024-04-05T14:34:13|della-l08g5|2024-04-05T14:34:13|2024-04-05T14:35:47|00:01:34|COMPLETED|0:0
|4294967294|55452143.0|||2024-04-05T14:34:15|della-l08g5|2024-04-05T14:34:15|2024-04-05T14:35:47|00:01:32|FAILED|1:0
mb5157|ee|55453321_2|billing=1,cpu=1,gres/gpu=1,mem=10240M,node=1|01:00:00|2024-04-05T15:00:55|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:58|00:00:45|COMPLETED|0:0
|4294967294|55453321_2.batch|||2024-04-05T15:02:13|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:58|00:00:45|COMPLETED|0:0
|4294967294|55453321_2.extern|||2024-04-05T15:02:13|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:58|00:00:45|COMPLETED|0:0
mb5157|ee|55453321_3|billing=1,cpu=1,gres/gpu=1,mem=10240M,node=1|01:00:00|2024-04-05T15:00:55|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:54|00:00:41|COMPLETED|0:0
|4294967294|55453321_3.batch|||2024-04-05T15:02:13|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:54|00:00:41|COMPLETED|0:0
|4294967294|55453321_3.extern|||2024-04-05T15:02:13|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:54|00:00:41|COMPLETED|0:0
rm3395|astro|55453799|billing=20,cpu=16,gres/gpu=16,mem=262144M,node=4|01:00:00|2024-04-05T15:15:41|della-l02g12,della-l08g[4-5],della-l09g5|2024-04-05T16:46:22|2024-04-05T17:51:30|01:05:08|TIMEOUT|0:0
|4294967294|55453799.extern|||2024-04-05T16:46:22|della-l02g12,della-l08g[4-5],della-l09g5|2024-04-05T16:46:22|2024-04-05T17:51:30|01:05:08|COMPLETED|0:0
|4294967294|55453799.0|||2024-04-05T16:46:23|della-l02g12,della-l08g[4-5],della-l09g5|2024-04-05T16:46:23|2024-04-05T17:51:35|01:05:12|CANCELLED|0:15
